R1 | 完全支持映射 F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | F84双侧完全支持（TS外发邮件账户+PA邮件通知）；SMTPS加密细节待实测→V清单
R2 | F83 | 已取证·天融信缺口（2026-08-15 P3矩阵取证） | F83：TS无公开XML/REST API文档（CHM仅"第三方管理接口"），FireMon对接依赖API通道
R3 | F83 | 已取证·天融信缺口（2026-08-15 P3矩阵取证） | F83：Ansible经API+Playbook对接同受API缺口影响
R4 | F83 | 已取证·天融信缺口（2026-08-15 P3矩阵取证） | F83：RESTful API为R2/R3的总通道，PA XML+REST双API完全支持
R5 | F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | F84：TS日志查看+PA日志筛选均支持；源/目的IP字段级过滤待实测→V清单
R6 | F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | 同R5（目的IP过滤）
R7 | F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | 同R5（源端口过滤）
R8 | F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | 同R5（目的端口过滤）
R9 | F84 | 已取证·待实测（2026-08-15 P3矩阵取证） | F84：PA日志字段体系有据（会话开始/结束时间）；TS连接日志字段明细待实测→V清单
R10 | F84 | 已取证·待实测（2026-08-15 P3矩阵取证） | 同R9（会话结束时间）
R11 | F84 | 已取证·待实测（2026-08-15 P3矩阵取证） | 同R9：PA解密日志含结束原因字段；TS待实测
R12 | F91 | 已取证·双方支持（2026-08-15 P3矩阵取证） | F91：TS License升级+PA订阅续期；升级不中断业务待实测→V清单
R13 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：PA App-ID全球库；TS国际应用（Facebook）识别覆盖待抽样实测→V清单
R14 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：YouTube，同R13港澳应用抽样清单
R15 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：Twitter(X)，同R13
R16 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：WhatsApp，同R13
R17 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：TikTok，同R13
R18 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：Zoom，同R13
R19 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：Steam，同R13
R20 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B27+B36：Office365含子应用识别；TS覆盖待实测
R21 | B24+B36 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | B24+B36：TeamViewer，同R13
R22 | E74 | 已取证·双方支持（2026-08-15 P3矩阵取证） | E74：TS密码+证书/UKey/短信与PA MFA供应商体系均完全支持
R23 | A5 | 已取证·待查资料（2026-08-15 P3矩阵取证） | A5：地址组嵌套层数（8层）属容量规格，双方需查datasheet→V清单
R24 | F92 | 已取证·待实测（2026-08-15 P3矩阵取证） | F92：TS升级服务器+PA更新服务器均支持；经代理服务器升级双方手册未载→V清单
R25 | F135 | 已取证·天融信缺口（2026-08-15 P3矩阵取证） | F135：TS无配置锁机制（检索无命中）；PA Config Lock/Commit Lock完全支持——PA优势
R26 | A10+F80 | 已取证·双方支持（2026-08-15 P3矩阵取证） | A10+F80：TS独立管理路由分离显式支持；PA MGT带外+服务路由
R27 | A10+F80 | 已取证·双方支持（2026-08-15 P3矩阵取证） | A10+F80：带外管理认证路由同R26
R28 | F90 | 已取证·待查资料（2026-08-15 P3矩阵取证） | F90：双方手册均无第三方配置转换工具章节；需查迁移工具（PA Expedition/天融信迁移工具）→V清单
R29 | F90 | 已取证·待查资料（2026-08-15 P3矩阵取证） | F90：PA配置转换（本替代项目反向场景：PA→天融信工具为关键）→V清单
R30 | F90 | 已取证·待查资料（2026-08-15 P3矩阵取证） | F90：Hillstone转换工具同R28
R31 | B33 | 已取证·待实测（2026-08-15 P3矩阵取证） | B33：双方QoS完全支持；RED/尾丢弃队列算法细节未载→V清单
R32 | B33 | 已取证·待实测（2026-08-15 P3矩阵取证） | B33：尾丢弃同R31
R33 | A23 | 已取证·双方支持·TS占优（2026-08-15 P3矩阵取证） | A23：TS组播路由完全支持/PA部分支持；IGMP随A23证据
R34 | A23 | 已取证·双方支持·TS占优（2026-08-15 P3矩阵取证） | A23：MLD（IPv6组播）随A23
R35 | A23 | 已取证·双方支持·TS占优（2026-08-15 P3矩阵取证） | A23：PIM-SM随A23
R36 | A23 | 已取证·双方支持·TS占优（2026-08-15 P3矩阵取证） | A23：PIM-DM随A23
R37 | A2+A5 | 已取证·双方支持（2026-08-15 P3矩阵取证） | A2+A5：策略源/目的域名（TS域名对象+PA FQDN对象）
R38 | C39+A23 | 已取证·待实测（2026-08-15 P3矩阵取证） | C39+A23：组播报文IPS检测双方手册未显式载明→V清单
R39 | D57 | 已取证·双方支持（2026-08-15 P3矩阵取证） | D57：TS内置分类库/PA PAN-DB订阅，实现路径不同
R40 | C53+B28 | 已取证·待实测（2026-08-15 P3矩阵取证） | C53+B28：PA手册建议阻止QUIC（无法解密）；HTTP3解密WAF双方均未见→V清单
R41 | C53+F84 | 已取证·待实测（2026-08-15 P3矩阵取证） | C53+F84：XFF原始IP解析上报双方手册未载→V清单
R42 | C46 | 已取证·双方支持（2026-08-15 P3矩阵取证） | C46：TS联动第三方沙箱/PA WildFire云订阅（需订阅授权），仅命名不同
R43 | F80 | 已取证·待实测（2026-08-15 P3矩阵取证） | F80：PA多语言显式支持；TS界面英文切换待实测→V清单
R44 | B24+F92 | 已取证·待实测（2026-08-15 P3矩阵取证） | B24+F92：TS日志语言中英文可选；规则库/界面语言待实测
R45 | F80 | 已取证·待查资料（2026-08-15 P3矩阵取证） | F80：PA中英文手册齐备；TS英文版手册需向原厂查询→V清单
R46 | F84 | 已取证·双方支持（2026-08-15 P3矩阵取证） | F84：TS日志语言中/英文可选显式支持；PA英文原生
R47 | F86 | 已取证·待实测（2026-08-15 P3矩阵取证） | F86：报表英文输出TS待实测
R48 | G95/G97 | 已取证·待查资料（2026-08-15 P3矩阵取证） | G97：网络层/IPS/DLP/IPSec加速能力属硬件规格，需查双方datasheet→V清单
R49 | G97 | 已取证·待查资料（2026-08-15 P3矩阵取证） | G97：IPS加速同R48
R50 | G97 | 已取证·待查资料（2026-08-15 P3矩阵取证） | G97：DLP内容检查加速同R48
R51 | G97 | 已取证·待查资料（2026-08-15 P3矩阵取证） | G97：IPSec硬件加速同R48
R52 | F87+F88 | 已取证·双方支持（2026-08-15 P3矩阵取证） | F87+F88：TS显式支持整机/策略/管理员/实时四级配置同步；PA配置同步完整
R53 | A19+F87 | 已取证·待实测（2026-08-15 P3矩阵取证） | A19+F87：虚系统级HA（跨设备虚系统互备）双方手册未载→V清单
R54 | A5 | 已取证·待查资料（2026-08-15 P3矩阵取证） | A5：NAT策略组容量512条属规格项，需查datasheet
R55 | G96 | 已取证·待查资料（2026-08-15 P3矩阵取证） | G96：25G/40G/2.5G/5G接口速率与国产型号需查产品目录→V清单
R56 | G96 | 已取证·PA优势·TS待实测（2026-08-15 P3矩阵取证） | G96：PA收发器监控（show transceiver光衰）有据；TS光衰查看待实测→V清单
R57 | E77+A10 | 已取证·双方支持（2026-08-15 P3矩阵取证） | E77：TS DPD+链路备份+策略路由/PA Tunnel Monitor+Path Monitoring；切换时间待实测
R58 | B124 | 已取证·PA优势（2026-08-15 P3矩阵取证） | B124：PA解密镜像接口+许可证完全支持；TS部分支持（解密排除有据，镜像输出待实测）
